tenant_id,priority_tier,source_count,sources_active,sources_monitored,tenant_beta_contract_available,ready_for_demo_contract,ready_for_beta_onboarding,live_source_collection_available,email_delivery_available,source_monitoring_live,live_source_coverage
nf-demo-tenant-01,tenant_state_priority,57,0,0,True,True,False,False,False,False,False
nf-demo-tenant-01,federal_priority,303,0,0,True,True,False,False,False,False,False
nf-demo-tenant-01,other_state,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-01,private,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-01,out_of_scope,21,0,0,True,True,False,False,False,False,False
nf-demo-tenant-02,tenant_state_priority,57,0,0,True,True,False,False,False,False,False
nf-demo-tenant-02,federal_priority,303,0,0,True,True,False,False,False,False,False
nf-demo-tenant-02,other_state,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-02,private,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-02,out_of_scope,21,0,0,True,True,False,False,False,False,False
nf-demo-tenant-03,tenant_state_priority,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-03,federal_priority,303,0,0,True,True,False,False,False,False,False
nf-demo-tenant-03,other_state,57,0,0,True,True,False,False,False,False,False
nf-demo-tenant-03,private,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-03,out_of_scope,21,0,0,True,True,False,False,False,False,False
nf-demo-tenant-04,tenant_state_priority,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-04,federal_priority,303,0,0,True,True,False,False,False,False,False
nf-demo-tenant-04,other_state,57,0,0,True,True,False,False,False,False,False
nf-demo-tenant-04,private,0,0,0,True,True,False,False,False,False,False
nf-demo-tenant-04,out_of_scope,21,0,0,True,True,False,False,False,False,False
