tenant_id,feature,enabled,implemented,configuration_required,tenant_beta_contract_available,ready_for_demo_contract,ready_for_beta_onboarding,live_source_collection_available,email_delivery_available,source_monitoring_live,live_source_coverage
nf-demo-tenant-01,tenant_eligibility_profile,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-01,sc_federal_source_watchlist,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-01,weekly_nofo_digest,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-01,optional_daily_alerts,False,False,False,True,True,False,False,False,False,False
nf-demo-tenant-01,pursuit_suppression,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-01,tenant_pursuit_pipeline,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-01,reporting_burden_preview,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-01,awarded_grants_workspace,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-01,tenant_document_library,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-01,tenant_rules_routing_alerts,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-01,software_capacity_allowability_review,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-02,tenant_eligibility_profile,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-02,sc_federal_source_watchlist,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-02,weekly_nofo_digest,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-02,optional_daily_alerts,False,False,False,True,True,False,False,False,False,False
nf-demo-tenant-02,pursuit_suppression,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-02,tenant_pursuit_pipeline,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-02,reporting_burden_preview,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-02,awarded_grants_workspace,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-02,tenant_document_library,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-02,tenant_rules_routing_alerts,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-02,software_capacity_allowability_review,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-03,tenant_eligibility_profile,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-03,sc_federal_source_watchlist,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-03,weekly_nofo_digest,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-03,optional_daily_alerts,False,False,False,True,True,False,False,False,False,False
nf-demo-tenant-03,pursuit_suppression,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-03,tenant_pursuit_pipeline,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-03,reporting_burden_preview,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-03,awarded_grants_workspace,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-03,tenant_document_library,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-03,tenant_rules_routing_alerts,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-03,software_capacity_allowability_review,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-04,tenant_eligibility_profile,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-04,sc_federal_source_watchlist,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-04,weekly_nofo_digest,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-04,optional_daily_alerts,False,False,False,True,True,False,False,False,False,False
nf-demo-tenant-04,pursuit_suppression,True,False,False,True,True,False,False,False,False,False
nf-demo-tenant-04,tenant_pursuit_pipeline,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-04,reporting_burden_preview,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-04,awarded_grants_workspace,True,True,False,True,True,False,False,False,False,False
nf-demo-tenant-04,tenant_document_library,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-04,tenant_rules_routing_alerts,True,True,True,True,True,False,False,False,False,False
nf-demo-tenant-04,software_capacity_allowability_review,True,True,False,True,True,False,False,False,False,False
